Initial Set of Car Owners - Unsorted
Bugs Bunny          	ABC-123		    5/2021         
Honey Bunny         	DEF-456		    9/2021         
Lola Bunny          	GHI-789		    3/2022         
Daffy Duck          	JKL-123		    3/2022         
Melissa Duck        	MNQ-456		    2/2022         
Foghorn Leghorn     	RST-789		    7/2021         
Elmer Fudd          	UVW-123		    2/2022         
Speedy Gonzales     	XYZ-456		    4/2021         
Marvin Martian      	BCD-789		    6/2021         
Pepe Le Pew         	EFG-123		    9/2021         
Petunia Pig         	HIJ-456		    8/2021         
Porky Pig           	KLM-789		    2/2022         
Sylvester Cat       	NQR-456		    1/2021         
Tasmanian Devil     	STU-789		    10/2020        
Tweety Bird         	VWX-123		    8/2021         
Wyle Coyote         	YZA-456		    2/2022         
Road Runner         	CDE-789		    5/2022         
Yosemite Sam        	FGH-123		    3/2021         

Sorted list based on Registration date
Tasmanian Devil     	STU-789		    10/2020        
Sylvester Cat       	NQR-456		    1/2021         
Yosemite Sam        	FGH-123		    3/2021         
Speedy Gonzales     	XYZ-456		    4/2021         
Bugs Bunny          	ABC-123		    5/2021         
Marvin Martian      	BCD-789		    6/2021         
Foghorn Leghorn     	RST-789		    7/2021         
Petunia Pig         	HIJ-456		    8/2021         
Tweety Bird         	VWX-123		    8/2021         
Honey Bunny         	DEF-456		    9/2021         
Pepe Le Pew         	EFG-123		    9/2021         
Melissa Duck        	MNQ-456		    2/2022         
Elmer Fudd          	UVW-123		    2/2022         
Porky Pig           	KLM-789		    2/2022         
Wyle Coyote         	YZA-456		    2/2022         
Lola Bunny          	GHI-789		    3/2022         
Daffy Duck          	JKL-123		    3/2022         
Road Runner         	CDE-789		    5/2022         

Owners with Expired Registration
Tasmanian Devil     	STU-789		    10/2020        
Sylvester Cat       	NQR-456		    1/2021         
Yosemite Sam        	FGH-123		    3/2021         

Owners with registration expiring in three months or less
Speedy Gonzales     	XYZ-456		    4/2021         
Bugs Bunny          	ABC-123		    5/2021         
Marvin Martian      	BCD-789		    6/2021         

